Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
BIM 001,Introduction to Biomedical Engineering,2,"Learning Activities:Lecture 1 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Pass One open to freshmen.Grade Mode:Letter.General Education:Science & Engineering (SE).",,"Lecture 1 hour(s), Laboratory 3 hour(s)",Letter,SE
BIM 020,Fundamentals of Bioengineering,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to BME majors only.Credit Limitation(s):Only 2 units of credit to students who have previously takenECH 051,ENG 105.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Visual Literacy (VL).",CHE 002BC- or better;MAT 021DC- or better;PHY 009B;ENG 006;BIM 020L(can be concurrent).,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, VL"
BIM 020L,Graphics Design for BME,2,"Learning Activities:Lecture 1 hour(s), Laboratory 2 hour(s).Enrollment Restriction(s):Open to BME majors only.Credit Limitation(s):No credit for students who have previously takenENG 004.Grade Mode:Letter.General Education:Science & Engineering (SE).",CHE 002BC- or better;MAT 021DC- or better;PHY 009B;ENG 006;BIM 020(can be concurrent).,"Lecture 1 hour(s), Laboratory 2 hour(s)",Letter,SE
BIM 088V,Introduction to Research,2,Learning Activities:Web Virtual Lecture 2 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).,,Web Virtual Lecture 2 hour(s),Letter,SS
BIM 089A,Topics in Biomedical Engineering,1,Learning Activities:Variable 3-15 hour(s).Enrollment Restriction(s):Restricted to lower division students.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).,Consent of instructor.,Variable 3-15 hour(s),Letter,SE
BIM 089B,Topics in Biomedical Engineering,1,Learning Activities:Variable 3-15 hour(s).Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).,Consent of instructor.,Variable 3-15 hour(s),Letter,SE
BIM 089C,Topics in Biomedical Engineering,1,Learning Activities:Variable 3-15 hour(s).Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).,Consent of instructor.,Variable 3-15 hour(s),Letter,SE
BIM 099,Special Study for Undergraduates,1,Learning Activities:Variable.Repeat Credit:May be repeated.Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,,Variable,Pass/No Pass only,SE
BIM 102,Cellular Dynamics,4,Learning Activities:Lecture/Discussion 4 hour(s).Enrollment Restriction(s):Open to College of Engineering students only.Credit Limitation(s):Only 2 units of credit for students who have completedBIS 104.Grade Mode:Letter.General Education:Science & Engineering (SE).,BIS 002A;CHE 008BorCHE 118B.,Lecture/Discussion 4 hour(s),Letter,SE
BIM 105,Probability & Data Science for Biomedical Engineers,4,"Learning Activities:Lecture 3 hour(s), Laboratory 2 hour(s).Credit Limitation(s):No credit for students who have takenMAT 107orBIS 107; only 2 units of credit for students who have completedMAT 135AorSTA 131A.Grade Mode:Letter.General Education:Science & Engineering (SE).",(MAT 022AC- or better orMAT 027AC- or better orBIS 027AC- or better);ENG 006(can be concurrent); or consent of instructor.,"Lecture 3 hour(s), Laboratory 2 hour(s)",Letter,SE
BIM 106,Biotransport Phenomena,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to Biomedical Engineering majors only.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL); Visual Literacy (VL).",BIM 020C- or better;BIM 020L; (BIM 116orBIM 181orNPB 101);PHY 009B; (MAT 022BorMAT 027BorBIS 027B).,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, SL, VL"
BIM 107,Manufacturing Processes for BME,2,"Learning Activities:Lecture/Discussion 1 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to BME majors only.Credit Limitation(s):No credit for students who have previously takenEME 050.Grade Mode:Letter.General Education:Science & Engineering (SE).",BIM 020C- or better;BIM 020LC- or better.,"Lecture/Discussion 1 hour(s), Laboratory 3 hour(s)",Letter,SE
BIM 108,Biomedical Signals & Control,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to Biomedical Engineering majors only.Credit Limitation(s):No credit for students who have takenEEC 150; 2 units of credit for students who have takenEME 171.Grade Mode:Letter.General Education:Science & Engineering (SE).,ENG 006; (ENG 017orENG 017V); (MAT 022BC- or better orMAT 027BC- or better orBIS 027BC- or better).,Lecture 4 hour(s),Letter,SE
BIM 109,Biomaterials,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to Biomedical Engineering majors only.Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL); Visual Literacy (VL).,BIS 002A;CHE 002C;BIM 106.,Lecture 4 hour(s),Letter,"SE, SL, VL"
BIM 110A,Biomedical Engineering Senior Design Experience,3,"Learning Activities:Lecture/Discussion 2 hour(s), Project 6 hour(s).Enrollment Restriction(s):Restricted to senior Biomedical Engineering majors.Grade Mode:Letter.General Education:Science & Engineering (SE); Oral Skills (OL); Visual Literacy (VL).",BIM 105;BIM 106;BIM 107;BIM 108;BIM 109;BIM 020L; (BIM 116orBIM 181orNPB 101).,"Lecture/Discussion 2 hour(s), Project 6 hour(s)",Letter,"SE, OL, VL"
BIM 110B,Biomedical Engineering Senior Design Experience,3,"Learning Activities:Lecture/Discussion 2 hour(s), Project 6 hour(s).Enrollment Restriction(s):Restricted to senior Biomedical Engineering majors.Grade Mode:Letter.General Education:Science & Engineering (SE); Oral Skills (OL); Visual Literacy (VL).",BIM 110A.,"Lecture/Discussion 2 hour(s), Project 6 hour(s)",Letter,"SE, OL, VL"
BIM 110C,Biomedical Engineering Senior Design Experience,3,"Learning Activities:Lecture/Discussion 2 hour(s), Project 6 hour(s).Enrollment Restriction(s):Restricted to senior Biomedical Engineering majors.Grade Mode:Letter.General Education:Oral Skills (OL); Visual Literacy (VL).",BIM 110B.,"Lecture/Discussion 2 hour(s), Project 6 hour(s)",Letter,"OL, VL"
BIM 111,Biomedical Instrumentation Laboratory,6,"Learning Activities:Lecture 4 hour(s), Discussion/Laboratory 4 hour(s).Enrollment Restriction(s):Open to Biomedical Engineering majors only.Grade Mode:Letter.General Education:Science & Engineering (SE).",BIM 105;BIM 106;BIM 107;BIM 108;BIM 109; (ENG 100orEEC 100); (BIM 116orBIM 181orNPB 101).,"Lecture 4 hour(s), Discussion/Laboratory 4 hour(s)",Letter,SE
BIM 116,Quantitative Physiology,5,"Learning Activities:Lecture 3 hour(s), Discussion 2 hour(s).Enrollment Restriction(s):Open to students in the Biomedical Engineering (EBIM) major only.Grade Mode:Letter.General Education:Science & Engineering (SE).",BIS 002AC- or better;BIM 020C- or better; (MAT 022BorMAT 027BorBIS 027B);PHY 009Crecommended.,"Lecture 3 hour(s), Discussion 2 hour(s)",Letter,SE
BIM 117,Modeling Strategies for Biomedical Engineering,4,"Learning Activities:Lecture 2 hour(s), Lecture/Discussion 2 hour(s).Enrollment Restriction(s):Restricted to upper division standing.Grade Mode:Letter.General Education:Science & Engineering (SE).",BIS 002AC- or better;MAT 022AC- or better.,"Lecture 2 hour(s), Lecture/Discussion 2 hour(s)",Letter,SE
BIM 118,Microelectromechanical Systems,4,"Learning Activities:Lecture 2 hour(s), Laboratory 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to upper division standing in Biomedical Engineering.Grade Mode:Letter.General Education:Science & Engineering (SE).",CHE 002A; (ENG 017orENG 017V).,"Lecture 2 hour(s), Laboratory 3 hour(s), Discussion 1 hour(s)",Letter,SE
BIM 120,Introduction to Materials Science for Biomedical Engineers,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to upper division Biomedical Engineering students only.Grade Mode:Letter.General Education:Science & Engineering (SE).,(BIM 020C- or better orENG 105C- or better);PHY 009C;MAT 022Bor MAT 27B orBIS 027Brecommended.,Lecture 4 hour(s),Letter,SE
BIM 125,Introduction to Design & Analysis of Experiments for BME,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",BIM 105orSTA 100.,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
BIM 126,Tissue Mechanics,3,"Learning Activities:Lecture 2 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",EXB 103 orENG 045orENG 045Y.,"Lecture 2 hour(s), Laboratory 3 hour(s)",Letter,SE
BIM 140,Protein Engineering,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL); Visual Literacy (VL).",BIS 002A.,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, SL, VL"
BIM 140L,Protein Engineering Laboratory,2,"Learning Activities:Discussion 1 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",BIM 140(can be concurrent); concurrent enrollment inBIM 140required.,"Discussion 1 hour(s), Laboratory 3 hour(s)",Letter,SE
BIM 141,Cell & Tissue Mechanics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Visual Literacy (VL).",PHY 009B;ENG 006;ENG 035.,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, VL"
BIM 142,Principles & Practices of Biomedical Imaging,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,(MAT 022BorMAT 027BorBIS 027B);PHY 009B.,Lecture 4 hour(s),Letter,SE
BIM 143,Biomolecular Systems Engineering: Synthetic Biology,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",BIS 002A; (MAT 016C orMAT 017CorMAT 021C).,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
BIM 143L,Synthetic Biology Laboratory,2,"Learning Activities:Discussion 1 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",BIM 143(can be concurrent); concurrent enrollment inBIM 143required.,"Discussion 1 hour(s), Laboratory 3 hour(s)",Letter,SE
BIM 144,Principles of Biophotonics,4,"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to upper division Biomedical Engineering majors only.Grade Mode:Letter.General Education:Science & Engineering (SE).",PHY 009B; (MAT 022BorMAT 027BorBIS 027B); or consent of instructor;BIM 108or equivalent helpful.,"Lecture 3 hour(s), Laboratory 3 hour(s)",Letter,SE
BIM 145,Immuno-Engineering,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,BIM 161AorBIS 102.,Lecture 4 hour(s),Letter,SE
BIM 146,Biomedical Image Processing,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to College of Engineering students only.Grade Mode:Letter.General Education:Science & Engineering (SE).,(BIM 105C- or better orSTA 131AC- or better); (BIM 108C- or better orEEC 150C- or better); or consent of instructor.,Lecture 4 hour(s),Letter,SE
BIM 151,Computational Tools & Applications in Bioengineering & Biomedicine,4,"Learning Activities:Lecture 3 hour(s), Lecture/Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",BIS 002A;PHY 009B; (MAT 022BorMAT 027BorBIS 027B).,"Lecture 3 hour(s), Lecture/Discussion 1 hour(s)",Letter,SE
BIM 152,Molecular Control of Biosystems,4,"Learning Activities:Lecture 3 hour(s), Lecture/Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Oral Skills (OL).",BIS 002A;PHY 009B; (MAT 022BorMAT 027BorBIS 027B).,"Lecture 3 hour(s), Lecture/Discussion 1 hour(s)",Letter,"SE, OL"
BIM 154,Computational Genomics,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,ENG 006C- or better;MAT 021DC- or better; (MAT 022AC- or better orMAT 027AC- or better orBIS 027AC- or better);BIM 105C- or better.,Lecture 4 hour(s),Letter,SE
BIM 155,Machine Learning for Biomedical Engineering,4,"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Open to upper division Biomedical Engineering majors only.Credit Limitation(s):No credit if student has takenECS 111,ECS 171, orEEC 179; 3 units of credit if student has takenEEC 174AYorNPB 136.Grade Mode:Letter.General Education:Science & Engineering (SE).",ENG 006C- or better; (MAT 022AorMAT 027AorBIS 027A);BIM 105;BIM 108(can be concurrent);ECS 032Brecommended.,"Lecture 3 hour(s), Laboratory 3 hour(s)",Letter,SE
