Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
CHE 001,Preparation for General Chemistry,3,"Learning Activities:Lecture 2 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Concurrent enrollment inCHE 002AorCHE 004Anot allowed.Credit Limitation(s):Not open for credit to students who have completedCHE 002AorCHE 004Awith a grade of C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE).",,"Lecture 2 hour(s), Discussion 1 hour(s)",Letter,SE
CHE 001V,Preparation for General Chemistry,3,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Enrollment Restriction(s):Concurrent enrollment inCHE 002AorCHE 004Anot allowed.Credit Limitation(s):Not open for credit to students who have completedCHE 002AorCHE 004Awith a grade of C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE).",,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SE
CHE 002A,General Chemistry,5,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).Credit Limitation(s):Only 3 units of credit for students who have completedCHE 004A; not open for credit for students who have completedCHE 002AHorCHE 004B.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).","High school chemistry and physics, and concurrent enrollment in mathematics at or above the level ofMAT 012strongly recommended; must earn a qualifying score of 24 or higher on the Chemistry Placement Exam or completeCHE 001orCHE 001Vwith a C- or higher; more information about the Chemistry Placement Requirements can be found at https://chemistry.ucdavis.edu/undergraduate/general-chemistry-series/chemistry-placement-requirements/0000","Lecture 3 hour(s), Discussion/Laboratory 4 hour(s)",Letter,"SE, QL, SL"
CHE 002AH,Honors General Chemistry,5,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenCHE 002A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).","Consent of instructor; high school chemistry and physics, and concurrent enrollment in mathematics at or above the level ofMAT 012strongly recommended; must earn a qualifying score of 33 or better on the Chemistry Placement Exam; more information about the Chemistry Placement Requirements to ensure enrollment inCHE 002Acan be found at https://chemistry.ucdavis.edu/undergraduate/general-chemistry-series/chemistry-placement-requirements","Lecture 3 hour(s), Discussion/Laboratory 4 hour(s)",Letter,"SE, QL, SL"
CHE 002B,General Chemistry,5,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).Credit Limitation(s):Only three units of credit for students who have completedCHE 004A; not open for credit for students who have completedCHE 002BHorCHE 004B.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",CHE 002A,"Lecture 3 hour(s), Discussion/Laboratory 4 hour(s)",Letter,"SE, QL, SL"
CHE 002BH,Honors General Chemistry,5,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenCHE 002B.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",CHE 002AorCHE 002AHC or better;MAT 021B; or consent of instructor;CHE 002Awith consent of instructor,"Lecture 3 hour(s), Discussion/Laboratory 4 hour(s)",Letter,"SE, QL, SL"
CHE 002C,General Chemistry,5,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenCHE 002CH.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",CHE 002B OR CHE 002BHC- or better OR CHE 004B,"Lecture 3 hour(s), Discussion/Laboratory 4 hour(s)",Letter,"SE, QL, SL"
CHE 002CH,Honors General Chemistry,5,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 6 hour(s).Credit Limitation(s):Not open for credit to students who have takenCHE 002C.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",CHE 002BorCHE 002BHC or better;MAT 021C; or consent of instructor;CHE 002Bwith consent of instructor,"Lecture 3 hour(s), Discussion/Laboratory 6 hour(s)",Letter,"SE, QL, SL"
CHE 003A,Chemistry for Life Sciences: Determining Structure & Predicting Properties,5,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Concurrent enrollment withCHE 002A,CHE 002B,CHE 002C,CHE 002AH,CHE 002BH,CHE 002CHprohibited; not open for enrollment to students who have completedCHE 002Cor002CHwith a C- or better.Credit Limitation(s):Only 3 units credit for students who have completedCHE 002AorCHE 002AHwith a C- or better; only 1 unit of credit to students who have completedCHE 002BorCHE 002BHwith a C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).CHE 003A— Chemistry for Life Sciences: Determining Structure & Predicting Properties (5 units)Course Description:Integrated General and Organic Chemistry intended for majors in the life sciences. Core concepts of chemical composition, structure and properties. Includes phase changes, separation methods, composition, spectroscopy, atomic & molecular structure, periodicity, bonding, charge distribution, intermolecular forces, and physical properties.Prerequisite(s):High school chemistry and physics strongly recommended; satisfactory score on the Chemistry and Mathematics Placement Examinations or satisfactory completion of the ALEKS Summer Chemistry Prep Course; satisfactory grade in WKL 041C ('P' or 'C' or better) will suffice in lieu of  satisfactory Chemistry Placement Examination score.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Concurrent enrollment withCHE 002A,CHE 002B,CHE 002C,CHE 002AH,CHE 002BH,CHE 002CHprohibited; not open for enrollment to students who have completedCHE 002Cor002CHwith a C- or better.Credit Limitation(s):Only 3 units of credit for students who have completedCHE 002AorCHE 002AHwith a C- or better; only 1 unit of credit to students who have completedCHE 002BorCHE 002BHwith a C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE).This course version is effective from, and including:  Spring Quarter 2026.",High school chemistry and physics strongly recommended; satisfactory score on the Chemistry and Mathematics Placement Examinations or satisfactory completion of the ALEKS Summer Chemistry Prep Course; a satisfactory grade in WKL 041C ( 'P' or 'C' or better ) will suffice in lieu of a satisfactory Chemistry Placement Examination score,"Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s)",Letter,"SE, QL, SL"
CHE 003B,Chemistry for Life Sciences: Predicting & Characterizing Chemical Change,5,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Concurrent enrollment withCHE 002A,CHE 002B,CHE 002C,CHE 002AH,CHE 002BH,CHE 002CHprohibited.Credit Limitation(s):Only 3 units credit for students who have completedCHE 002BorCHE 002BHwith a C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).CHE 003B— Chemistry for Life Sciences: Predicting & Characterizing Chemical Change (5 units)Course Description:Continuation ofCHE 003Acovering core concepts of characterization of chemical processes and predicting chemical changes. Includes modeling chemical reactions, understanding proportions/stoichiometry, tracking energy, activation energy, reaction kinetics, thermodynamics, and equilibrium.Prerequisite(s):CHE 003AC- or better; note: C- or better inCHE 002Aor002AHdoes not satisfy the prerequisite requirement.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Concurrent enrollment withCHE 002A,CHE 002B,CHE 002C,CHE 002AH,CHE 002BH,CHE 002CHprohibited.Credit Limitation(s):Only 3 units of credit for students who have completedCHE 002BorCHE 002BHwith a C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE).This course version is effective from, and including:  Spring Quarter 2026.",CHE 003A; note: C- or better inCHE 002Aor002AHdoes not satisfy the prerequisite requirement,"Lecture 3 hour(s), Discussion 1 hour(s), Laboratory 3 hour(s)",Letter,"SE, QL, SL"
