Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
CMN 001,Introduction to Public Speaking,4,"Learning Activities:Lecture 2 hour(s), Discussion 2 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Oral Skills (OL).",,"Lecture 2 hour(s), Discussion 2 hour(s)",Letter,"AH, SS, OL"
CMN 001V,Introduction to Public Speaking,4,"Learning Activities:Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Oral Skills (OL).",,"Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,"AH, SS, OL"
CMN 003,Interpersonal Communication Competence,4,"Learning Activities:Lecture 2 hour(s), Discussion 2 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",,"Lecture 2 hour(s), Discussion 2 hour(s)",Letter,"SS, WE"
CMN 003V,Interpersonal Communication Competence,4,"Learning Activities:Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",,"Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,"SS, WE"
CMN 003Y,Interpersonal Communication Competence,4,"Learning Activities:Web Virtual Lecture 2 hour(s), Discussion 2 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",,"Web Virtual Lecture 2 hour(s), Discussion 2 hour(s)",Letter,"SS, WE"
CMN 005,Global English & Communication,4,"Learning Activities:Lecture 2 hour(s), Discussion 2 hour(s).Cross Listing:LIN 005.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Oral Skills (OL); World Cultures (WC).",,"Lecture 2 hour(s), Discussion 2 hour(s)",Letter,"AH, SS, OL, WC"
CMN 010V,Introduction to Communication,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenCMN 010Y.Grade Mode:Letter.General Education:Social Sciences (SS).",,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SS
CMN 010Y,Introduction to Communication,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenCMN 010V.Grade Mode:Letter.General Education:Social Sciences (SS).",,"Web Virtual Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
CMN 012Y,Data Visualization in the Social Sciences,4,"Learning Activities:Lecture 2 hour(s), Laboratory 1.50 hour(s), Web Virtual Lecture 1.50 hour(s).Cross Listing:SOC 012Y,POL 012Y,PSC 012Y.Grade Mode:Letter.General Education:Quantitative Literacy (QL); Visual Literacy (VL).CMN 012Y— Data Visualization in the Social Sciences (4 units)Course Description:Introduction to quantitative data across the social sciences (Communications, Political Science, Psychology, Sociology, and other disciplines). Transforming data, describing data, producing graphs, visual reasoning, and interpretations.Learning Activities:Lecture 2 hour(s), Laboratory 1.50 hour(s), Web Virtual Lecture 1.50 hour(s).Cross Listing:POL 012Y,PSC 012Y.Grade Mode:Letter.General Education:Quantitative Literacy (QL); Visual Literacy (VL).This course version is effective from, and including:  Spring Quarter 2026.",,"Lecture 2 hour(s), Laboratory 1",Letter,"QL, VL"
CMN 092,Internship in Communication,1,Learning Activities:Internship.Enrollment Restriction(s):Open to Communication majors only.Grade Mode:P/NP only.,Consent of instruction,Internship,Pass/No Pass only,
CMN 099,Special Study for Undergraduates,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable,Pass/No Pass only,
CMN 101,Communication Theories,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
CMN 101V,Communication Theories,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SS
CMN 101Y,Communication Theories,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",,"Web Virtual Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
CMN 102,Empirical Methods in Communication,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",STA 013orSTA 013Y; or equivalent ofSTA 013,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
CMN 102V,Empirical Methods in Communication,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",STA 013orSTA 013Y; or equivalent ofSTA 013,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SS
CMN 110,Communication Networks,4,"Learning Activities:Lecture/Discussion 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",,"Lecture/Discussion 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,SS
CMN 111,Gender Differences in Communication,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Credit Limitation(s):Not open for credit to students who have taken CMN 103.Grade Mode:Letter.General Education:Social Sciences (SS); Domestic Diversity (DD).,,Lecture 4 hour(s),Letter,"SS, DD"
CMN 112,Theories of Persuasion,4,Learning Activities:Lecture/Discussion 4 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Credit Limitation(s):Not open for credit to students who have taken CMN 152.Grade Mode:Letter.General Education:Social Sciences (SS).,,Lecture/Discussion 4 hour(s),Letter,SS
CMN 114,Communication & Cognition,4,Learning Activities:Lecture/Discussion 4 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Credit Limitation(s):Not open for credit to students who have completed CMN 138.Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).,,Lecture/Discussion 4 hour(s),Letter,"SS, WE"
CMN 120,Interpersonal Communication,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Credit Limitation(s):Not open for credit to students who have taken CMN 134.Grade Mode:Letter.General Education:Social Sciences (SS).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
CMN 120V,Interpersonal Communication,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Repeat Credit:Not open for credit to students who have taken CMN 134.Grade Mode:Letter.General Education:Social Sciences (SS).",,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SS
CMN 121,Language Use in Conversation,4,Learning Activities:Lecture/Discussion 4 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Credit Limitation(s):Not open for credit to students who have taken CMN 105.Grade Mode:Letter.General Education:Social Sciences (SS).,,Lecture/Discussion 4 hour(s),Letter,SS
CMN 122,Nonverbal Communication,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Pass One open to Communication majors only.Credit Limitation(s):Not open for credit to students who have completed CMN 135.Grade Mode:Letter.General Education:Social Sciences (SS).,,Lecture 4 hour(s),Letter,SS
