Course Code,Title,Units,Description,Prerequisites
ECN 001A,— Principles of Microeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Quantitative Literacy (QL).",
ECN 001AV,— Principles of Microeconomics,(4 units),"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenECN 001A.Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Quantitative Literacy (QL).",
ECN 001AY,— Principles of Microeconomics,(4 units),"Learning Activities:Web Virtual Lecture 1.5 hour(s), Lecture 1.5 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Quantitative Literacy (QL).",
ECN 001B,— Principles of Macroeconomics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Quantitative Literacy (QL).",
ECN 001BV,— Principles of Macroeconomics,(4 units),"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Quantitative Literacy (QL).",
ECN 090X,— Lower Division Seminar,(1-2 units),Learning Activities:Seminar 1-2 hour(s).Enrollment Restriction(s):Limited enrollment.Grade Mode:Letter.,Consent of instructor. Lower division standing.
ECN 092,— Internship & Field Work,(1-12 units),"Learning Activities:Internship 3-36 hour(s), Term Paper.Grade Mode:Pass/No Pass only.",Consent of instructor.
ECN 098,— Group Study for Undergraduates,(1-5 units),Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor.
ECN 099,— Individual Study for Undergraduates,(1-5 units),Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor.
ECN 100A,— Intermediate Micro Theory: Consumer & Producer Theory,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students that have takenARE 100A.Grade Mode:Letter.General Education:Social Sciences (SS).","(ECN 001AC- or better orECN 001AYC- or better orECN 001AVC- or better); (ECN 001BC- or better, orECN 001BVC- or better); (MAT 016A C- or better orMAT 017AC- or better orMAT 021AC- or better); (MAT 016B C- or better orMAT 017BC- or better orMAT 021BC- or better)."
ECN 100AV,— Intermediate Micro Theory: Consumer & Producer Theory,(4 units),"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students that have takenARE 100A.Grade Mode:Letter.General Education:Social Sciences (SS).","(ECN 001AC- or better orECN 001AYC- or better orECN 001AVC- or better); (ECN 001BC- or better, orECN 001BVC- or better); (MAT 016A C- or better orMAT 017AC- or better orMAT 021AC- or better); (MAT 016B C- or better orMAT 017BC- or better orMAT 021BC- or better)."
ECN 100B,— Intermediate Micro Theory: Imperfect Competition & Market Failure,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students that have takenARE 100B.Grade Mode:Letter.",ECN 100AorECN 100AV.
ECN 101,— Intermediate Macro Theory,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.","(ECN 001AC- or better orECN 001AVC- or better); (ECN 001BC- or better, orECN 001BVC- or better); ((MAT 016A C- or better,  MAT 016B C- or better) or (MAT 021AC- or better,MAT 021BC- or better) or (MAT 017AC- or better,MAT 017BC- or better))."
ECN 102,— Analysis of Economic Data,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",(ECN 001AorECN 001AYorECN 001AV); (ECN 001BorECN 001BV); (STA 013orSTA 013YorSTA 032); (MAT 016A orMAT 017AorMAT 021A); (MAT 017BorMAT 021B); or consent of instructor.
ECN 103,— Economics of Uncertainty & Information,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.","(ECN 100 orECN 100Aor (ARE 100A,ARE 100B)),ECN 100B,  (MAT 016A orMAT 017AorMAT 021A),  (MAT 016B orMAT 017BorMAT 021B)."
ECN 106,— Decision Making,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors only.Grade Mode:Letter.General Education:Social Sciences (SS).",(MAT 016A C- or better orMAT 017AC- or better orMAT 019AC- or better orMAT 021AC- or better); (MAT 016B C- or better orMAT 017BC- or better orMAT 019BC- or better orMAT 021BC- or better); (STA 013C- or better orSTA 013YC- or better orSTA 032C- or better).
ECN 106Y,— Decision Making,(4 units),"Learning Activities:Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Economics majors only.Grade Mode:Letter.General Education:Social Sciences (SS).",(MAT 017AC- or better orMAT 019AC- or better orMAT 021AC- or better); (MAT 017BC- or better orMAT 019BC- or better orMAT 021BC- or better); (STA 013C- or better orSTA 013YC- or better orSTA 032C- or better).
