Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
ECS 011,Artificial Intelligence for All,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):No credit for students that have takenECS 111,ECS 170,ECS 171,EEC 174AY,EEC 174BY,EEC 179, orBIM 155.Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, SL"
ECS 012,Introduction to Media Computation,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Credit Limitation(s):Two units of credit for students that have taken ECS 010, ECS 030,ECS 032A,ECS 032AV,ECS 036A, orENG 006..Cross Listing:CDM 012.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Science & Engineering (SE); Visual Literacy (VL).",,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"AH, SE, VL"
ECS 017,"Data, Logic, & Computing",4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed courseECS 020or MAT108.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 016A OR MAT 017A OR MAT 019A{ } OR MAT 021A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
ECS 020,Discrete Mathematics For Computer Science,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Computer Science, Computer Science Engineering, Computer Engineering, and Cognitive Science Majors only.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 016A OR MAT 017A OR MAT 019A OR MAT 021A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
ECS 032A,Introduction to Programming,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to undergraduate students only.Credit Limitation(s):No credit to students who have completedECS 032B,ECS 032C,ECS 036A,ECS 036B,ECS 036C.Grade Mode:Letter.General Education:Science & Engineering (SE).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 032AV,Introduction to Programming,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Enrollment Restriction(s):Open to undergraduate students only.Credit Limitation(s):No credit to students who have completedECS 032B,ECS 032C,ECS 036A,ECS 036B,ECS 036C.Grade Mode:Letter.General Education:Science & Engineering (SE).",,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SE
ECS 032B,Introduction to Data Structures,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):No credit to students who have completedECS 036B,ECS 036C, ECS 040 or ECS 060.Grade Mode:Letter.General Education:Science & Engineering (SE).",ECS 010 or ECS 030 OR ECS 032A OR ECS 032AVC- or better OR ECS 036A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 032C,Implementation of Data Structures in C,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):No credit to students who have completedECS 036B,ECS 036C, ECS 040 or ECS 060.Grade Mode:Letter.General Education:Science & Engineering (SE).",ECS 032B,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 034,Software Development in UNIX & C++,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):No credit to students who have completedECS 036B,ECS 036C, ECS 040 or ECS 060.Grade Mode:Letter.General Education:Science & Engineering (SE).",ECS 032C; or consent of instructor,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 036A,Programming & Problem Solving,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Computer Science, Computer Science & Engineering, and Computer Engineering majors only; Pass Two restricted to Computer Science, Computer Science & Engineering, Computer Engineering, Cognitive Science, Applied Physics, Statistics, and Psychology majors only.Credit Limitation(s):Only 2 units of credit to students who have completedECS 032AorECS 032AV; no credit to students who have completedECS 032B,ECS 032C,ECS 034, ECS 040 or ECS 060.Grade Mode:Letter.General Education:Science & Engineering (SE).","ECS 032A OR ECS 032AVC- or better or ECS 010; or must satisfy computer science placement exam; prior experience with basic programming concepts ( variable, loops, conditional statements ) required","Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
