Course Code,Title,Units,Description,Prerequisites
ENG 001,— Introduction to Engineering,(1 unit),Learning Activities:Lecture 1 hour(s).Enrollment Restriction(s):Open to first year students only.Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,
ENG 003,— Introduction to Engineering Design,(4 units),"Learning Activities:Lecture 2 hour(s), Studio 2 hour(s), Project 2 hour(s).Enrollment Restriction(s):Pass One restricted to lower division College of Engineering students; Pass Two restricted to lower division students.Grade Mode:Letter.General Education:Science & Engineering (SE) or Social Sciences (SS); Oral Skills (OL).",Completion of Entry Level Writing Requirement (ELWR).
ENG 003Y,— Introduction to Engineering Design,(4 units),"Learning Activities:Web Virtual Lecture 2 hour(s), Studio 2 hour(s), Project 2 hour(s).Enrollment Restriction(s):Pass One restricted to lower division College of Engineering students; Pass Two restricted to undergraduate College of Engineering students.Credit Limitation(s):No credit if student has takenENG 003.Grade Mode:Letter.General Education:Science & Engineering (SE) or Social Sciences (SS); Oral Skills (OL).",Completion of Entry Level Writing Requirement (ELWR).
ENG 004,— Engineering Graphics in Design,(3 units),"Learning Activities:Lecture 2 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).",
ENG 006,— Engineering Problem Solving,(4 units),"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).ENG 006— Engineering Problem Solving (4 units)Course Description:Methodology for solving engineering problems. Engineering computing and visualization based on MATLAB. Engineering examples and applications.Prerequisite(s):(MAT 016A C- or better orMAT 017AC- or better orMAT 019AC- or better orMAT 021AC- or better); (MAT 016B C- or better (can be concurrent) orMAT 017BC- or better (can be concurrent) orMAT 019BC- or better (can be concurrent) orMAT 021BC- or better (can be concurrent)).Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).This course version is effective from, and including:  Fall Quarter 2025.",(MAT 016A C- or better orMAT 017AC- or better orMAT 019AC- or better orMAT 021AC- or better); (MAT 016B C- or better (can be concurrent) orMAT 017BC- or better (can be concurrent) orMAT 019BC- or better (can be concurrent) orMAT 021BC- or better (can be concurrent)).
ENG 008,— Introduction to Entrepreneurship,(3 units),Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).,
ENG 009,— Technology Startup Speaker Series,(1 unit),Learning Activities:Lecture 1 hour(s).Grade Mode:P/NP only.General Education:Social Sciences (SS).,Consent of instructor.
ENG 010,— The Science Behind the Technology in Our Lives,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE) or Social Sciences (SS).",High school algebra.
ENG 011A,— Issues in Engineering,(1 unit),Learning Activities:Lecture 1 hour(s).Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,Consent of instructor.
ENG 011B,— Issues in Engineering,(1 unit),Learning Activities:Lecture 1 hour(s).Credit Limitation(s):No credit for students who have completedENG 001.Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,Consent of instructor.
ENG 017,— Circuits I,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).ENG 017— Circuits I (4 units)Course Description:Basic electric circuit analysis techniques, including electrical quantities and elements, resistive circuits, transient and steady-state responses of RLC circuits, sinusoidal excitation and phasors, and complex frequency and network functions.Prerequisite(s):MAT 021CC- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).This course version is effective from, and including:  Spring Quarter 2026.",MAT 021C; C- or better recommended.
ENG 017V,— Circuits I,(4 units),"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).ENG 017V— Circuits I (4 units)Course Description:Basic electric circuit analysis techniques, including electrical quantities and elements, resistive circuits, transient and steady-state responses of RLC circuits, sinusoidal excitation and phasors, and complex frequency and network functions.Prerequisite(s):MAT 021CC- or better.Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).This course version is effective from, and including:  Spring Quarter 2026.",MAT 021C.
ENG 020,— Introduction to Space Exploration: Understanding the Technological & Environmental Challenges,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).","High school level Algebra, Geometry, General Science (Physics and Chemistry)."
ENG 035,— Statics,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",(PHY 009AC- or better orPHY 009HAC- or better);MAT 021DC- or better (can be concurrent).
ENG 045,— Properties of Materials,(4 units),"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Pass One restricted to College of Engineering majors and Physics/Applied Physics majors (LPHY and LAPP).Grade Mode:Letter.General Education:Science & Engineering (SE).",(MAT 016C C- or better orMAT 017CC- or better orMAT 019CC- or better orMAT 021CC- or better); (CHE 002BC- or better orCHE 004AC- or better); (PHY 007BC- or better orPHY 009AC- or better orPHY 009HAC- or better).
ENG 045H,— Honors Properties of Materials,(1 unit),Learning Activities:Discussion 1 hour(s).Enrollment Restriction(s):Open only to students in the Materials Science and Engineering Honors Program.Grade Mode:Letter.,ENG 045(can be concurrent) orENG 045Y(can be concurrent); enrollment in the Materials Science and Engineering Honors Program;ENG 045orENG 045Yrequired concurrently.
ENG 045Y,— Properties of Materials,(4 units),"Learning Activities:Web Virtual Lecture 3 hour(s), Laboratory 3 hour(s).Enrollment Restriction(s):Pass One restricted to College of Engineering majors and Physics/Applied Physics majors (LPHY and LAPP).Grade Mode:Letter.General Education:Science & Engineering (SE).","(MAT 016C C- or better orMAT 017CC- or better orMAT 019CC- or better orMAT 021CC- or better); (CHE 002BC- or better orCHE 004AC- or better); (PHY 007BC- or better orPHY 009AC- or better,PHY 009HAC- or better)."
ENG 098,— Directed Group Study,(1-4 units),Learning Activities:Variable.Enrollment Restriction(s):Restricted to College of Engineering students only.Repeat Credit:May be repeated 3 time(s) when content differs.Grade Mode:Pass/No Pass only.,
ENG 100,— Electronic Circuits & Systems,(3 units),"Learning Activities:Laboratory 3 hour(s), Lecture 2 hour(s).Credit Limitation(s):Students who have completedEEC 100may receive only 1.5 units of credit.Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).ENG 100— Electronic Circuits & Systems (3 units)Course Description:Introduction to analog and digital circuit and system design through hands on laboratory design projects.Prerequisite(s):ENG 017C- or better orENG 017VC- or better.Learning Activities:Laboratory 3 hour(s), Lecture 2 hour(s).Credit Limitation(s):Students who have completedEEC 100may receive only 1.5 units of credit.Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).This course version is effective from, and including:  Spring Quarter 2026.",(ENG 017orENG 017V) C- or better recommended.
ENG 102,— Dynamics,(4 units),"Learning Activities:Lecture 4 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to College of Engineering students only.Credit Limitation(s):Only 2 units of credit allowed to students who have previously taken ENG 036.Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).",ENG 035C- or better; (MAT 022BC- or better orMAT 027BC- or better).
ENG 103,— Fluid Mechanics,(4 units),"Learning Activities:Lecture 4 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to students in the College of Engineering and Hydrology majors.Credit Limitation(s):Not open for credit to students who have completed ECH 150A.Grade Mode:Letter.General Education:Science & Engineering (SE).",ENG 035C- or better;PHY 009BC- or better; (MAT 022BC- or better orMAT 027BC- or better).
ENG 104,— Mechanics of Materials,(4 units),Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Open to Engineering majors only.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,ENG 035C- or better; (MAT 022BC- or better orMAT 027BC- or better).
ENG 104L,— Mechanics of Materials Laboratory,(1 unit),Learning Activities:Laboratory 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,ENG 104orENG 104V.
ENG 104V,— Mechanics of Materials,(4 units),Learning Activities:Web Virtual Lecture 4 hour(s).Enrollment Restriction(s):Open to Engineering majors only.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,ENG 035C- or better; (MAT 022BC- or better orMAT 027BC- or better).
ENG 105,— Thermodynamics,(4 units),"Learning Activities:Lecture 4 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Open to College of Engineering students only.Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).",PHY 009BC- or better; (MAT 022BC- or better orMAT 027BC- or better).
