Course Code,Title,Units,Description,Prerequisites
ETX 010,— Introduction to Environmental Toxicology,(3 units),Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL).,
ETX 020,— Introduction to Forensic Science,(3 units),Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL); Visual Literacy (VL).,
ETX 030,— Chemical & Drug Use & Abuse,(3 units),Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,
ETX 040,— Contaminants in Our Environment,(3 units),Learning Activities:Lecture/Discussion 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL).,
ETX 092,— Internship,(1-12 units),Learning Activities:Internship 3-36 hour(s).Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,Consent of instructor; lower division standing.
ETX 098,— Directed Group Study,(1-5 units),Learning Activities:Variable.Repeat Credit:May be repeated.Grade Mode:P/NP only.,Consent of instructor.
ETX 099,— Special Study for Undergraduates,(1-5 units),Learning Activities:Variable.Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,Consent of instructor.
ETX 101,— Principles of Environmental Toxicology,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL).",(CHE 008BorCHE 118BorCHE 128B);BIS 002A.
ETX 102A,— Environmental Fate of Toxicants,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed ETX 112A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL); Visual Literacy (VL); Writing Experience (WE).",CHE 008BorCHE 118BorCHE 128B; or consent of instructor.
ETX 102B,— Quantitative Analysis of Environmental Toxicants,(5 units),"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed ETX 112B.Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL).",ETX 102A.
ETX 103A,— Biological Effects of Toxicants,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have taken ETX 114A.Grade Mode:Letter.General Education:Science & Engineering (SE).",BIS 102;NPB 101ETX 101recommended.
ETX 103B,— Biological Effects of Toxicants: Experimental Approaches,(5 units),"Learning Activities:Lecture 3 hour(s), Laboratory 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have taken ETX 114B.Grade Mode:Letter.General Education:Science & Engineering (SE); Visual Literacy (VL); Writing Experience (WE).",ETX 103A.
ETX 104,— Environmental & Nutritional Factors in Cellular Regulation & Nutritional Toxicants,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:NUT 104.Grade Mode:Letter.General Education:Science & Engineering (SE); Oral Skills (OL); Scientific Literacy (SL).",(BIS 101orBIS 101V); (BIS 103orABI 103).
ETX 110,— Toxic Tragedies & Their Impact on Society,(2 units),Learning Activities:Lecture 2 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL); Writing Experience (WE).,Upper division status or consent of instructor required.
ETX 111,— Introduction to Mass Spectrometry,(3 units),Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,CHE 118CorCHE 128C.
ETX 120,— Perspectives in Aquatic Toxicology,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Oral Skills (OL); Scientific Literacy (SL); Visual Literacy (VL); Writing Experience (WE).",BIS 002A;CHE 002C; or consent of instructor.
ETX 127,— Environmental Stress & Development in Marine Organisms,(10 units),"Learning Activities:Lecture 4 hour(s), Laboratory 12 hour(s), Discussion 2 hour(s).Cross Listing:NUT 127.Grade Mode:Letter.General Education:Science & Engineering (SE); Oral Skills (OL); Quantitative Literacy (QL); Scientific Literacy (SL); Visual Literacy (VL); Writing Experience (WE).","ETX 101orBIS 102orBIS 104; and consent of instructor, or the equivalent; ETX 114A orNUT 114recommended."
ETX 128,— Food Toxicology,(3 units),Learning Activities:Lecture 3 hour(s).Cross Listing:FST 128.Grade Mode:Letter.General Education:Science & Engineering (SE).,BIS 102;BIS 103.
ETX 130,— Role & Applications of Toxicology in Modern Industry,(3 units),Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,ETX 101;ETX 103Arecommended.
