Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
HDE 012,Human Sexuality,3,"Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Domestic Diversity (DD).",,Lecture 3 hour(s),Letter,"SS, ACGH, DD"
HDE 012V,Human Sexuality,3,"Learning Activities:Web Virtual Lecture 3 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Domestic Diversity (DD).",,Web Virtual Lecture 3 hour(s),Letter,"SS, ACGH, DD"
HDE 092,Internship,1,Learning Activities:Internship 3-36 hour(s).Repeat Credit:May be repeated 12 unit(s).Grade Mode:Pass/No Pass only.,"Consent of instructor; field work experience or at least one course related to fieldwork assignment ( e.g.HDE 100A,HDE 100B,HDE 140or HDE 140L ) ",Internship 3-36 hour(s),Pass/No Pass only,
HDE 098,Directed Group Study for Undergraduates,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable,Pass/No Pass only,
HDE 099,Special Study for Undergraduates,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,,Variable,Pass/No Pass only,
HDE 100A,Infancy & Early Childhood,4,Learning Activities:Lecture 4 hour(s).Enrollment Restriction(s):Pass One restricted to Human Development majors.Grade Mode:Letter.,( PSC 001orPSC 001YorPSC 001V ) ; ( BIS 002AorBIS 010or BIS 001A or BIS 010V ) OR MCB 010orNPB 010orNPB 012orMIC 010,Lecture 4 hour(s),Letter,
HDE 100AV,Infancy & Early Childhood,4,Learning Activities:Web Virtual Lecture 4 hour(s).Enrollment Restriction(s):Pass One restricted to Human Development majors.Grade Mode:Letter.,( PSC 001orPSC 001YorPSC 001V ) ; ( BIS 002AorBIS 010or BIS 001A or BIS 010V OR MCB 010orNPB 010orNPB 012orMIC 010 ) ,Web Virtual Lecture 4 hour(s),Letter,
HDE 100B,Middle Childhood & Adolescence,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.,( HDE 100AorHDE 100AVorPSC 140orPSC 140YorPSC 140V ) ; ( PSC 001orPSC 001Y ) ,Lecture 4 hour(s),Letter,
HDE 100BV,Middle Childhood & Adolescence,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.",( HDE 100AorHDE 100AVorPSC 140orPSC 140YorPSC 140V ) ; ( PSC 001orPSC 001Y ) ,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,
HDE 100C,Adulthood & Aging,4,Learning Activities:Lecture 4 hour(s).Grade Mode:Letter.,PSC 001orPSC 001YorPSC 001V,Lecture 4 hour(s),Letter,
HDE 101,Cognitive Development,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Enrollment Restriction(s):Pass One restricted to Human Development majors.Credit Limitation(s):Not open for credit to students who have takenPSC 141.Grade Mode:Letter.General Education:Writing Experience (WE).",HDE 100AorHDE 100AVorHDE 100BorHDE 100BVorPSC 140orPSC 140YorPSC 140V,"Lecture 3 hour(s), Term Paper",Letter,WE
HDE 102,Social & Personality Development,4,"Learning Activities:Lecture 3 hour(s), Term Paper.Enrollment Restriction(s):Pass One open to Human Development majors.Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",HDE 100AorHDE 100AVorHDE 100BorHDE 100BV.,"Lecture 3 hour(s), Term Paper",Letter,"SS, WE"
HDE 104,"Children in Families, Schools, Communities",4,"Learning Activities:Lecture 3 hour(s), Extensive Writing.Enrollment Restriction(s):Pass One restricted to HDE majors.Grade Mode:Letter.",HDE 100AorHDE 100AVorHDE 100BorHDE 100BVorPSC 140orPSC 140YorPSC 140V,"Lecture 3 hour(s), Extensive Writing",Letter,
