Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
HIS 001,Introduction to History,2,"Learning Activities:Lecture 1 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); World Cultures (WC); Writing Experience (WE).",,"Lecture 1 hour(s), Discussion 1 hour(s)",Letter,"SS, WC, WE"
HIS 002,Introduction to the History of Science & Technology,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:STS 002.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Scientific Literacy (SL); World Cultures (WC).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, SS, SL, WC"
HIS 002Y,Introduction to the History of Science & Technology,4,Learning Activities:Lecture 2 hour(s); Discussion 1 hour(s); Web Virtual Lecture 1 hour(s).Cross Listing:STS 002Y.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Scientific Literacy (SL); World Cultures (WC).,,Lecture 2 hour(s); Discussion 1 hour(s); Web Virtual Lecture 1 hour(s),Letter,"AH, SS, SL, WC"
HIS 003,Cities: A Survey of World Cultures,4,"Learning Activities:Lecture 3 hour(s), Lecture/Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); World Cultures (WC).",,"Lecture 3 hour(s), Lecture/Discussion 1 hour(s)",Letter,"AH, SS, WC"
HIS 004A,History of Western Civilization,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); World Cultures (WC); Writing Experience (WE).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, SS, WC, WE"
HIS 004B,History of Western Civilization,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Visual Literacy (VL); World Cultures (WC); Writing Experience (WE).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, SS, VL, WC, WE"
HIS 004C,History of Western Civilization,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); World Cultures (WC); Writing Experience (WE).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, SS, WC, WE"
HIS 005,Modernist Culture,2,Learning Activities:Lecture/Discussion 2 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH); Visual Literacy (VL); World Cultures (WC).,,Lecture/Discussion 2 hour(s),Letter,"AH, VL, WC"
HIS 006,Introduction to the Middle East,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); World Cultures (WC).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, SS, WC"
HIS 007A,History of Latin America to,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); World Cultures (WC); Writing Experience (WE).",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, SS, WC, WE"
