Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
MAT 000B,Elementary Algebra,0,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Not open to concurrent student enrollment.Grade Mode:Pass/No Pass only.,,Lecture 3 hour(s),Pass/No Pass only,
MAT 000C,Trigonometry,0,Learning Activities:Lecture 2 hour(s).Enrollment Restriction(s):Not open to concurrent student enrollment.Grade Mode:Pass/No Pass only.,,Lecture 2 hour(s),Pass/No Pass only,
MAT 000D,Intermediate Algebra,0,Learning Activities:Lecture 3 hour(s).Enrollment Restriction(s):Not open to concurrent student enrollment.Grade Mode:Pass/No Pass only.,,Lecture 3 hour(s),Pass/No Pass only,
MAT 012,Precalculus,3,"Learning Activities:Lecture 3 hour(s).Credit Limitation(s):Not open for credit to students who have completed any of MAT 016A, MAT 016B, MAT 016C,MAT 017A,MAT 017B,MAT 017C,MAT 021A,MAT 021B, orMAT 021Cwith a C- or better.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).","Two years of high school algebra, plane geometry, plane trigonometry; obtaining required score on the Precalculus Diagnostic Examination",Lecture 3 hour(s),Letter,"SE, QL"
MAT 017A,Calculus for Biology & Medicine,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed MAT 016B, MAT 016C,MAT 021A,MAT 021B, orMAT 021C; only 2 units of credit to students who have completed MAT 016A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).","Two years of high school algebra, plane geometry, plane trigonometry, and analytical geometry, and satisfying the Mathematics Placement Requirement","Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, SL"
MAT 017B,Calculus for Biology & Medicine,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed MAT 016C,MAT 021B, orMAT 021C; only 2 units of credit for students who have completed MAT 016B.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).MAT 017B— Calculus for Biology & Medicine (4 units)Course Description:Introduction to integral calculus and elementary differential equations via applications to biology and medicine. Fundamental theorem of calculus, techniques of integration including integral tables and numerical methods, improper integrals, elementary first order differential equations, applications in biology and medicine.Prerequisite(s):MAT 016A C- or better orMAT 017AC- or better orMAT 019AC- or better orMAT 021AC- or better orMAT 021AHC- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed MAT 016C,MAT 021B, orMAT 021C; only 2 units of credit for students who have completed MAT 016B.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).This course version is effective from, and including:  Fall Quarter 2025.",MAT 016A OR MAT 017A OR MAT 021A OR MAT 021AHC- or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, SL"
MAT 017C,Calculus for Biology & Medicine,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completedMAT 021C; only 2 units of credit to students who have completed MAT 016C.Grade Mode:Letter.General Education:Science & Engineering (SE); Scientific Literacy (SL).",MAT 017B,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, SL"
MAT 019A,Calculus for Data-Driven Applications,4,"Learning Activities:Lecture 3 hour(s), Laboratory 2 hour(s)Credit Limitation(s):Not open for credit to students who have completed MAT 016A, MAT 016B, MAT 016C,MAT 017B,MAT 017C,MAT 021A,MAT 021B, orMAT 021C; only 2 units of credit to students who have completedMAT 017A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).","Two years of high school algebra, plane geometry, plane trigonometry, and satisfying the Mathematics Placement Requirement","Lecture 3 hour(s), Laboratory 2 hour(s)Credit Limitation(s):Not open for credit to students who have completed MAT 016A, MAT 016B, MAT 016C,MAT 017B,MAT 017C,MAT 021A,MAT 021B, orMAT 021C; only 2 units of credit to students who have completedMAT 017A",Letter,"SE, QL, SL"
MAT 019B,Calculus for Data-Driven Applications,4,"Learning Activities:Lecture 3 hour(s); Laboratory 2 hour(s).Credit Limitation(s):Not open for credit to students who have completed MAT 016B, 016C,MAT 017C,MAT 021B, orMAT 021C; only 2 units of credit to students who have completedMAT 017B.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).",MAT 017A OR MAT 021A OR MAT 021AHC- or better OR MAT 019A,Lecture 3 hour(s); Laboratory 2 hour(s),Letter,"SE, QL, SL"
MAT 019C,Calculus for Data-Driven Applications,4,Learning Activities:Lecture 3 hour(s); Laboratory 2 hour(s).Credit Limitation(s):Not open for credit to students who have completed MAT 016C orMAT 021C; only 2 units of credit to students who have completedMAT 017C.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).,MAT 019B OR MAT 017B OR MAT 021B OR MAT 021BHC- or better,Lecture 3 hour(s); Laboratory 2 hour(s),Letter,"SE, QL, SL"
MAT 021A,Calculus,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit to students who have completed MAT 016B, MAT 016C,MAT 017B, orMAT 017C; only 2 units of credit to students who have completed MAT 016A orMAT 017A.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Scientific Literacy (SL).","Two years of high school algebra, plane geometry, plane trigonometry, and analytical geometry, and satisfying the Mathematics Placement Requirement","Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL, SL"
MAT 021AH,Honors Calculus,4,Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,A Precalculus Diagnostic Examination score significantly higher than the minimum forMAT 021Ais required,Lecture/Discussion 4 hour(s),Letter,"SE, QL"
MAT 021AL,Emerging Scholars Program Calculus Workshop,2,Learning Activities:Workshop 6 hour(s).Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,MAT 021Arequired concurrently,Workshop 6 hour(s),Pass/No Pass only,SE
MAT 021B,Calculus,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Only 2 units of credit to students who have completed MAT 016B, MAT 016C,MAT 017B, orMAT 017C.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).MAT 021B— Calculus (4 units)Course Description:Continuation ofMAT 021A. Definition of definite integral, fundamental theorem of calculus, techniques of integration. Application to area, volume, arc length, average of a function, improper integral, surface of revolution.Prerequisite(s):(MAT 021AC- or better orMAT 021AHC- or better) orMAT 017AB or better orMAT 019AB or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Only 2 units of credit to students who have completed MAT 016B, MAT 016C,MAT 017B, orMAT 017C.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).This course version is effective from, and including:  Fall Quarter 2025.",( MAT 021A OR MAT 021AHC- or better ) OR MAT 017AB or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
MAT 021BH,Honors Calculus,4,Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,MAT 021AB or better OR MAT 021AHB or better,Lecture/Discussion 4 hour(s),Letter,SE
MAT 021BL,Emerging Scholars Program Calculus Workshop,2,Learning Activities:Workshop 6 hour(s).Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,MAT 021Brequired concurrently,Workshop 6 hour(s),Pass/No Pass only,SE
MAT 021C,Calculus,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 016C OR MAT 017C OR MAT 021B OR MAT 021BHC- or better OR MAT 017BB or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
MAT 021CH,Honors Calculus,4,Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,MAT 021BB or better OR MAT 021BHB or better,Lecture/Discussion 4 hour(s),Letter,SE
MAT 021CL,Emerging Scholars Program Calculus Workshop,2,Learning Activities:Workshop 6 hour(s).Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE).,MAT 021Crequired concurrently,Workshop 6 hour(s),Pass/No Pass only,SE
MAT 021D,Vector Analysis,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",( MAT 021C OR MAT 021CHC- or better ) OR MAT 017CB or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
MAT 021M,Accelerated Calculus,5,"Learning Activities:Lecture/Discussion 4 hour(s), Discussion/Laboratory 1 hour(s).Credit Limitation(s):Not open for credit to students who have completedMAT 021AorMAT 021B.Grade Mode:Letter.General Education:Science & Engineering (SE).","Grade of B or higher in both semesters of high school calculus or a score of 4 or higher on the Advanced Placement Calculus AB exam, and obtaining the required score on the Precalculus Diagnostic Examination and its trigonometric component","Lecture/Discussion 4 hour(s), Discussion/Laboratory 1 hour(s)",Letter,SE
MAT 022A,Linear Algebra,3,Learning Activities:Lecture 3 hour(s).Credit Limitation(s):Not open for credit to students who have completedMAT 067.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,( MAT 016C OR MAT 017C OR MAT 021C OR MAT 021CHC- or better ) ; ( ENG 006or EME 005 OR ECH 060orMAT 022AL ) ,Lecture 3 hour(s),Letter,"SE, QL"
MAT 022AL,Linear Algebra Computer Laboratory,1,Learning Activities:Laboratory 3 hour(s).Grade Mode:Pass/No Pass only.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,MAT 016C OR MAT 017CorMAT 021CorMAT 021CH,Laboratory 3 hour(s),Pass/No Pass only,"SE, QL"
MAT 022B,Differential Equations,3,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,( MAT 022A OR MAT 027A OR BIS 027A OR MAT 067 or better ) ,Lecture 3 hour(s),Letter,"SE, QL"
MAT 027A,Linear Algebra with Applications to Biology,4,"Learning Activities:Lecture 3 hour(s), Laboratory 2 hour(s).Credit Limitation(s):Only 1 unit of credit for students who have completedMAT 022A.Cross Listing:BIS 027A.Grade Mode:Letter.General Education:Science & Engineering (SE).",MAT 017C OR MAT 021C OR MAT 021CHC- or better,"Lecture 3 hour(s), Laboratory 2 hour(s)",Letter,SE
MAT 027B,Differential Equations with Applications to Biology,4,"Learning Activities:Lecture 3 hour(s), Laboratory 2 hour(s).Credit Limitation(s):Only 1 unit of credit for students who have completedMAT 022B.Cross Listing:BIS 027B.Grade Mode:Letter.General Education:Science & Engineering (SE).","( MAT 027A OR BIS 027A ) or ( MAT 022A, ( MAT 022ALC- or better OR ENG 006 or better OR ECS 032AorECS 032AVC- or better OR ECS 036A OR ECH 060 or better or EME 005 ) ) ","Lecture 3 hour(s), Laboratory 2 hour(s)",Letter,SE
MAT 036,Fundamentals of Mathematics,3,Learning Activities:Lecture 3 hour(s).Credit Limitation(s):Not open for credit to students who have takenMAT 108.Grade Mode:Letter.,Satisfaction of the Mathematics Placement Requirement,Lecture 3 hour(s),Letter,
MAT 067,Modern Linear Algebra,4,Learning Activities:Lecture/Discussion 4 hour(s).Credit Limitation(s):Only 1 unit of credit to students who have completedMAT 022A.Grade Mode:Letter.General Education:Science & Engineering (SE).,MAT 021C OR MAT 021CHC- or better,Lecture/Discussion 4 hour(s),Letter,SE
MAT 071A,Explorations in Elementary Mathematics,3,"Learning Activities:Lecture 2 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.",Two years of high school mathematics,"Lecture 2 hour(s), Laboratory 3 hour(s)",Letter,
MAT 071B,Explorations in Elementary Mathematics,3,"Learning Activities:Lecture 2 hour(s), Laboratory 3 hour(s).Grade Mode:Letter.",Two years of high school mathematics,"Lecture 2 hour(s), Laboratory 3 hour(s)",Letter,
MAT 089,Elementary Problem Solving,1,Learning Activities:Lecture 1 hour(s).Repeat Credit:May be repeated 1 time(s).Grade Mode:Pass/No Pass only.,High school mathematics through precalculus,Lecture 1 hour(s),Pass/No Pass only,
MAT 098,Directed Group Study,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable,Pass/No Pass only,
MAT 099,Special Study for Undergraduates,1,Learning Activities:Variable.Grade Mode:Pass/No Pass only.,Consent of instructor,Variable,Pass/No Pass only,
MAT 107,Probability & Stochastic Processes with Applications to Biology,4,"Learning Activities:Lecture 3 hour(s), Laboratory 2 hour(s).Credit Limitation(s):Only 2 units of credit for students who have completedMAT 135AorSTA 131A.Cross Listing:BIS 107.Grade Mode:Letter.General Education:Science & Engineering (SE).","( MAT 027A OR BIS 027A ) or ( MAT 022A, ( MAT 022ALC- or better OR ENG 006 or better OR ECS 032A OR ECS 032AVC- or better OR ECS 036A OR ECH 060 or better or EME 005 ) ) ","Lecture 3 hour(s), Laboratory 2 hour(s)",Letter,SE
MAT 108,Introduction to Abstract Mathematics,4,Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,MAT 021B,Lecture/Discussion 4 hour(s),Letter,SE
MAT 108V,Introduction to Abstract Mathematics,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",MAT 021B,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SE
MAT 111,History of Mathematics,4,"Learning Activities:Lecture 3 hour(s), Term Paper/Discussion 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).",MAT 127AorMAT 067orMAT 108orMAT 114orMAT 115AorMAT 141orMAT 145; 8 units of upper division Mathematics,"Lecture 3 hour(s), Term Paper/Discussion 1 hour(s)",Letter,SE
MAT 114,Convex Geometry,4,Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE).,MAT 021C; ( MAT 022AorBIS 027AorMAT 067 ) ,Lecture/Discussion 4 hour(s),Letter,SE
MAT 115A,Number Theory,4,Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,MAT 021B,Lecture/Discussion 4 hour(s),Letter,"SE, QL"
MAT 115B,Number Theory,4,"Learning Activities:Lecture 3 hour(s), Extensive Problem Solving.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 115A; ( MAT 022AorMAT 027AorMAT 067orBIS 027A ) ,"Lecture 3 hour(s), Extensive Problem Solving",Letter,"SE, QL"
MAT 116,Differential Geometry,4,"Learning Activities:Lecture 3 hour(s), Extensive Problem Solving.Grade Mode:Letter.General Education:Science & Engineering (SE).",MAT 021D; ( MAT 022AorMAT 027AorMAT 067orBIS 027A ) ; ( MAT 022BorMAT 027BorBIS 027B ) ,"Lecture 3 hour(s), Extensive Problem Solving",Letter,SE
MAT 118A,Partial Differential Equations: Elementary Methods,4,"Learning Activities:Lecture 3 hour(s), Extensive Problem Solving.Enrollment Restriction(s):Pass One open to Applied Mathematics, Mathematics, Mathematics & Scientific Computation, Mathematical Analytics & Operations Research.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 021D; ( MAT 022AorMAT 027AorMAT 067orBIS 027A ) ; ( MAT 022BorMAT 027BorBIS 027B ) ,"Lecture 3 hour(s), Extensive Problem Solving",Letter,"SE, QL"
MAT 118B,Partial Differential Equations: Eigenfunction Expansions,4,Learning Activities:Lecture 3 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).,MAT 118A,Lecture 3 hour(s),Letter,"SE, QL"
MAT 118C,Partial Differential Equations: Green's Functions & Transforms,4,"Learning Activities:Lecture 3 hour(s), Extensive Problem Solving.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 118B,"Lecture 3 hour(s), Extensive Problem Solving",Letter,"SE, QL"
MAT 119A,Ordinary Differential Equations,4,"Learning Activities:Lecture 3 hour(s), Extensive Problem Solving.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 021D; ( MAT 022AorMAT 027AorMAT 067orBIS 027A ) ; ( MAT 022BorMAT 027BorBIS 027B ) ,"Lecture 3 hour(s), Extensive Problem Solving",Letter,"SE, QL"
MAT 119B,Ordinary Differential Equations,4,"Learning Activities:Lecture 3 hour(s), Extensive Problem Solving.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 119A,"Lecture 3 hour(s), Extensive Problem Solving",Letter,"SE, QL"
MAT 124,Mathematical Biology,4,"Learning Activities:Lecture 3 hour(s), Project.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",( MAT 022AorMAT 027AorMAT 067orBIS 027A ) ; ( MAT 022BorMAT 027BorBIS 027B ) ,"Lecture 3 hour(s), Project",Letter,"SE, QL"
