Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
MGT 011A,Elementary Accounting,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 011A— Elementary Financial Accounting (4 units)Course Description:Basic concepts of accounting; interpreting and using financial statements; understanding accounting principles.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Summer Session 1 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 011AV,Elementary Accounting,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 011AV— Elementary Financial Accounting (4 units)Course Description:Basic concepts of accounting; interpreting and using financial statements; understanding accounting principles.Learning Activities:Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s).Credit Limitation(s):Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Summer Session 1 2026.",,"Web Virtual Lecture 3 hour(s), Web Electronic Discussion 1 hour(s)",Letter,SS
MGT 011AY,Elementary Accounting,4,"Learning Activities:Web Virtual Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 011AY— Elementary Financial Accounting (4 units)Course Description:Basic concepts of accounting; interpreting and using financial statements; understanding accounting principles.Learning Activities:Web Virtual Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Summer Session 1 2026.",,"Web Virtual Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 011B,Elementary Accounting,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 011B— Elementary Managerial Accounting (4 units)Course Description:Theory of product costing; Analyzing the role and impact of accounting information on decision making; planning and performance evaluation.Prerequisite(s):MGT 011AorMGT 011AVorMGT 011AY.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Summer Session 1 2026.MGT 011B— Elementary Managerial Accounting (4 units)Course Description:Theory of product costing. Analyzing the role and impact of accounting information on decision making; planning and performance evaluation.Prerequisite(s):MGT 011AorMGT 011AVorMGT 011AY.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",MGT 011AorMGT 011AVorMGT 011AY,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 012Y,Navigating Life,3,"Learning Activities:Lecture 2 hour(s), Web Virtual Lecture 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Quantitative Literacy (QL).",,"Lecture 2 hour(s), Web Virtual Lecture 1 hour(s)",Letter,"SS, QL"
MGT 092,Internship in Business,1,Learning Activities:Variable.Grade Mode:P/NP only.,Consent of instructor,Variable,Pass/No Pass only,
MGT 098,Directed Group Study,1,Learning Activities:Seminar 3-15 hour(s).Repeat Credit:May be repeated.Grade Mode:Pass/No Pass only.,,Seminar 3-15 hour(s),Pass/No Pass only,
MGT 099,Special Study for Undergraduates,1,"Learning Activities:Variable 3-15 hour(s).Grade Mode:P/NP only.This course version is effective from, and including: Fall Quarter 2025.",Consent of instructor,Variable 3-15 hour(s),Pass/No Pass only,
MGT 101,Sources & Uses of Accounting Information,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.",( MGT 011A OR MGT 011AVC- or better OR MGT 011AYC- or better ) ;MGT 011B; must have C- or better in all prerequisite courses,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 103,Intermediate Financial Accounting I,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.MGT 103— Intermediate Financial Accounting I (4 units)Course Description:Begin to develop expertise in the accounting for assets and introduce analysis of financial statements.Prerequisite(s):(MGT 011AC- or better orMGT 011AVC- or better orMGT 011AYC- or better);MGT 011BC- or betterLearning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to business majors.Grade Mode:Letter.This course version is effective from, and including:  Fall Quarter 2026.",MGT 011A;MGT 011B,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 105,Intermediate Financial Accounting II,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.MGT 105— Intermediate Financial Accounting II (4 units)Course Description:Continue to develop expertise in the preparation of financial statements by studying the accounting for liabilities and stockholders’ equity. Examines the accounting for contracts that can have significant effects on firms’ financial statements.Prerequisite(s):MGT 103C- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to business majors.Grade Mode:Letter.This course version is effective from, and including:  Fall Quarter 2026.",MGT 103,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 107,Intermediate Financial Accounting III,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.MGT 107— Intermediate Financial Accounting III (4 units)Course Description:Finishes the Intermediate Financial Accounting series by examining in depth the accounting for contracts related to pensions and leases. Preparation of the statement of cash flows and footnote disclosures.Prerequisite(s):MGT 105C- or better.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to business majors.Grade Mode:Letter.This course version is effective from, and including:  Fall Quarter 2026.",MGT 105,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 120,Managing & Using Information Technology,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 120— Introduction to Information Systems (4 units)Course Description:Develop an analytical framework to manage and monitor business systems concerned with operational, human, and organizational interactions. Introduction to computer hardware, systems software, and fundamental principles of database management systems. Concepts of data visualization.Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors only.Grade Mode:Letter.General Education:Social Sciences (SS).This course version is effective from, and including:  Fall Quarter 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 140,Marketing for the Technology-Based Enterprise,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).MGT 140— Introduction to Marketing & Data Analytics (4 units)Course Description:Strategic analysis and solutions to marketing decision problems. Enduring concepts and emerging issues of marketing; analytics tools to address modern marketing challenges.Prerequisite(s):(ECN 001AC- or better orECN 001AYC- or better orECN 001AVC- or better); (STA 013C- or better orSTA 013YC- or better orSTA 032C- or better).Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.General Education:Social Sciences (SS); Visual Literacy (VL).This course version is effective from, and including:  Fall Quarter 2026.",,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SS
MGT 141,Marketing Analytics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 140 or better;MGT 120 or better;STA 103 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
MGT 143,Customer Analytics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Business majors.Grade Mode:Letter.",MGT 120 or better;MGT 140 or better;STA 103 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,
