Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
STA 010,Statistical Thinking,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Credit Limitation(s):No credit if student has takenSTA 013orSTA 013Yor higher.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",Two years of high school algebra,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL"
STA 012,Introduction to Discrete Probability,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",Two years of high school algebra,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,"SE, QL"
STA 013,Elementary Statistics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Credit Limitation(s):Not open for credit for students who have completed STA 013V, or higher.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",Two years of high school algebra or Mathematics D,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"SE, QL"
STA 013Y,Elementary Statistics,4,"Learning Activities:Lecture 1 hour(s), Web Virtual Lecture 2 hour(s); Discussion 1 hour(s).Credit Limitation(s):No credit if student has takenSTA 013, or higher.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",Two years of high school algebra or Mathematics D,"Lecture 1 hour(s), Web Virtual Lecture 2 hour(s); Discussion 1 hour(s)",Letter,"SE, QL"
STA 015A,Introduction to Statistical Data Science I,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenSTA 013orSTA 032orSTA 100.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",Two years of high school algebra or Mathematics D,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL"
STA 015B,Introduction to Statistical Data Science II,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Visual Literacy (VL).",STA 015A OR STA 013 or better OR STA 032 or better OR STA 100 or better,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL, VL"
STA 015C,Introduction to Statistical Data Science III,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",STA 015B,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL"
STA 032,Gateway to Statistical Data Science,4,"Learning Activities:Lecture 3 hour(s), Laboratory 1 hour(s).Credit Limitation(s):Only 2 units of credit allowed to students who have takenSTA 013; not open for credit to students who have takenSTA 100.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 016B OR MAT 017B OR MAT 019B OR MAT 021B,"Lecture 3 hour(s), Laboratory 1 hour(s)",Letter,"SE, QL"
STA 035A,Statistical Data Science I,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Credit Limitation(s):Not open for credit to students who have takenSTA 032orSTA 100. Only 2 units credit for students who have takenSTA 013.Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL).",MAT 016A OR MAT 017A OR MAT 019A OR MAT 021A,"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL"
STA 035B,Statistical Data Science II,4,"Learning Activities:Lecture 3 hour(s), Discussion/Laboratory 1 hour(s).Grade Mode:Letter.General Education:Science & Engineering (SE); Quantitative Literacy (QL); Visual Literacy (VL).",( STA 013 or better OR STA 013Y;ECS 032A OR ECS 032AVC- or better ) OR STA 032 or better OR STA 035A OR STA 100 or better; MAT 016B OR MAT 017B{ } OR MAT 019B{ } OR MAT 021B{ },"Lecture 3 hour(s), Discussion/Laboratory 1 hour(s)",Letter,"SE, QL, VL"
