Course Code,Title,Units,Description,Prerequisites
STS 001,"— Introduction to Science, Technology & Medicine Studies",(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Writing Experience (WE).",
STS 002,— Introduction to the History of Science & Technology,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:HIS 002.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Scientific Literacy (SL); World Cultures (WC).",
STS 002Y,— Introduction to the History of Science & Technology,(4 units),Learning Activities:Lecture 2 hour(s); Discussion 1 hour(s); Web Virtual Lecture 1 hour(s).Cross Listing:HIS 002Y.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Scientific Literacy (SL); World Cultures (WC).,
STS 009,— Beautiful Data,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Extensive Writing.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Visual Literacy (VL); Writing Experience (WE).",
STS 010,— Art + Science: Intersections,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Fieldwork.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Scientific Literacy (SL); Visual Literacy (VL).",
STS 011,"— Science on Trial: Law, Science, & Technology in the United States",(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Term Paper.Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH).",
STS 012,— Epidemics & Society,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Scientific Literacy (SL); Visual Literacy (VL); World Cultures (WC); Writing Experience (WE).",
STS 016,"— Sex, Science, & Society",(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:HIS 016.Grade Mode:Letter.General Education:Arts & Humanities (AH); Domestic Diversity (DD); Scientific Literacy (SL); World Cultures (WC); Writing Experience (WE).",
STS 032,"— Drugs, Science & Culture",(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:ANT 032.Grade Mode:Letter.General Education:Social Sciences (SS); Visual Literacy (VL); Writing Experience (WE).",
STS 040A,— Media History 1: Gutenberg to Oppenheimer,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:CDM 040A.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Oral Skills (OL); Visual Literacy (VL); Writing Experience (WE).",CDM 002orCDM 003recommended.
STS 040B,— Media History 2: 1945-Present,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:CDM 040B.Grade Mode:Letter.General Education:Arts & Humanities (AH) or Social Sciences (SS); Oral Skills (OL); Visual Literacy (VL); Writing Experience (WE).",CDM 002orCDM 003recommended.
STS 050,— Ancient Science,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:CLA 050.Grade Mode:Letter.General Education:Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).",
STS 051,— Ancient Medicine,(4 units),"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Cross Listing:CLA 051.Grade Mode:Letter.General Education:Arts & Humanities (AH); World Cultures (WC); Writing Experience (WE).",
STS 092,— Internship,(1-12 units),Learning Activities:Internship 3-36 hour(s).Repeat Credit:May be repeated 12 unit(s).Grade Mode:Pass/No Pass only.,Consent of instructor.
STS 098,— Directed Group Study,(1-5 units),Learning Activities:Variable 3-15 hour(s).Repeat Credit:May be repeated.Grade Mode:Pass/No Pass only.General Education:Social Sciences (SS).,Consent of instructor.
STS 099,— Special Study for Undergraduates,(1-5 units),Learning Activities:Variable 3-15 hour(s).Grade Mode:Pass/No Pass only.,
STS 100,"— Methods in Science, Technology, & Medicine Studies",(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Extensive Writing/Discussion.Credit Limitation(s):Only two units of credit for students who have previously taken STS 020.Grade Mode:Letter.General Education:Social Sciences (SS); Scientific Literacy (SL).",STS 001recommended.
STS 101,— Data & Society,(4 units),Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); Quantitative Literacy (QL).,
STS 102,— Artificial Intelligence in Society,(4 units),"Learning Activities:Lecture/Discussion 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS).",
STS 108,— Intellectual Property in Science,(4 units),"Learning Activities:Lecture/Discussion 4 hour(s).Grade Mode:Letter.General Education:Social Sciences (SS); American Cultures, Governance, & History (ACGH); Writing Experience (WE).",STS 001; or other Social Science or Humanities writing course.
STS 109,— Visualization in Science: A Critical Introduction,(4 units),"Learning Activities:Lecture 3 hour(s), Extensive Writing/Discussion 1 hour(s).Cross Listing:ANT 109.Grade Mode:Letter.General Education:Social Sciences (SS); Visual Literacy (VL); Writing Experience (WE).",STS 001or STS 020 orANT 002recommended.
