Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
UWP 001,Introduction to Academic Literacies,4,Learning Activities:Lecture/Discussion 4 hour(s).Credit Limitation(s):Not open for credit to students who have takenUWP 001YorUWP 001V.Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).,Completion of Entry Level Writing Requirement ( ELWR ) ,Lecture/Discussion 4 hour(s),Letter,"AH, WE"
UWP 001A,Writers,2,"Learning Activities:Discussion/Laboratory 2 hour(s).Enrollment Restriction(s):Concurrent enrollment in a lower division writing course required, preferablyUWP 001; if necessary, based upon demand and academic advisor approval, students may concurrently enroll in an equivalent course instead; e.g.,ENL 003orNAS 005.Grade Mode:Letter.",Has not yet completed the Entry Level Writing Requirement ( ELWR ) required and concurrent enrollment in ( UWP 001 OR UWP 001V OR UWP 001Y ) ;,Discussion/Laboratory 2 hour(s),Letter,
UWP 001V,Introduction to Academic Literacies: Online,4,"Learning Activities:Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s).Credit Limitation(s):Not open to students who have takenUWP 001orUWP 001Y.Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).",Completion of Entry Level Writing Requirement ( ELWR ) ,"Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,"AH, WE"
UWP 001Y,Introduction to Academic Literacies,4,"Learning Activities:Lecture/Discussion 2 hour(s), Web Electronic Discussion 2 hour(s).Credit Limitation(s):Not open to students who have takenUWP 001orUWP 001V.Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).",Completion of Entry Level Writing Requirement ( ELWR ) ,"Lecture/Discussion 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,"AH, WE"
UWP 007,Practices in College Reading & Writing,4,"Learning Activities:Lecture/Discussion 4 hour(s).Enrollment Restriction(s):Not open to students who have already fulfilled the Entry Level Writing Requirement (ELWR); do not change grade mode to P/NP if course is for the ELWR.Credit Limitation(s):Students who do not earn a grade that fulfills ELWR but that confers unit credit (a grade of C-, D+, D, or D-) may repeat the course to complete the ELWR and to replace their previous grade, but will not receive additional unit credit. Students who fail the course (receive a grade of F) can repeat the course to complete the ELWR, to replace their previous grade, and to receive the unit credit for the course. Not open for credit to students who have completed the ELWR.Grade Mode:Letter.",,Lecture/Discussion 4 hour(s),Letter,
UWP 007M,Entry Level Writing: Practices in College Reading & Writing for Multilingual Writers,4,"Learning Activities:Discussion/Laboratory 4 hour(s).Enrollment Restriction(s):For students who have not yet satisfied the Entry Level Writing Requirement (ELWR); do not change grade mode to P/NP if course is for the Entry Level Writing Requirement (ELWR); to satisfy ELWR, students must receive a letter grade of C or higher.Credit Limitation(s):No credit for students who have completedUWP 007, UWP 023, or WLD 057.Grade Mode:Letter.",Enrollment via campus placement ( using the English Language Placement Exam or Analytical Writing Placement Exam ) or after successful completion ofUWP 022,Discussion/Laboratory 4 hour(s),Letter,
UWP 007MY,Practices in College Reading & Writing for Multilingual Writers,4,"Learning Activities:Lecture/Lab 2 hour(s), Web Electronic Discussion 2 hour(s).Enrollment Restriction(s):For students who have not yet satisfied the Entry Level Writing Requirement (ELWR). Do not change grade mode to P/NP if  course is for the Entry Level Writing Requirement  (ELWR). To satisfy ELWR, students must receive a letter grade of C or higher.Credit Limitation(s):No credit for students who have completedUWP 007, UWP 023, or WLD 057.Grade Mode:Letter.",Enrollment via campus placement ( using the English Language Placement Exam or Analytical Writing Placement Exam ) or after successful completion ofUWP 022,"Lecture/Lab 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,
UWP 007V,Practices in College Reading & Writing,4,"Learning Activities:Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s).Enrollment Restriction(s):Not open to students who have already fulfilled the Entry Level Writing Requirement (ELWR); do not change grade mode to P/NP if course is for the ELWR.Credit Limitation(s):Students who do not earn a grade that fulfills ELWR but that confers unit credit (a grade of C-, D+, D, or D-) can repeat the course to complete the ELWR and to replace their previous grade, but will not receive additional unit credit. Students who fail the course (receive a grade of F) can repeat the course to complete the ELWR, to replace their previous grade, and to receive the unit credit for the course. Not open for credit to students who have completed the ELWR.Grade Mode:Letter.",,"Web Virtual Lecture 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,
UWP 007Y,Practices in College Reading & Writing,4,"Learning Activities:Lecture/Discussion 2 hour(s), Web Electronic Discussion 2 hour(s).Enrollment Restriction(s):Not open to students who have already fulfilled the Entry Level Writing Requirement (ELWR); do not change grade mode to P/NP if course is for the ELWR.Credit Limitation(s):Students who do not earn a grade that fulfills ELWR but that confers unit credit (a grade of C-, D+, D, or D-) can repeat the course to complete the ELWR and to replace their previous grade, but will not receive additional unit credit. Students who fail the course (receive a grade of F) can repeat the course to complete the ELWR, to replace their previous grade, and to receive the unit credit for the course. Not open for credit to students who have completed the ELWR.Grade Mode:Letter.",,"Lecture/Discussion 2 hour(s), Web Electronic Discussion 2 hour(s)",Letter,
UWP 010,Introduction to Professional Writing Studies,4,"Learning Activities:Lecture/Discussion 3 hour(s), Extensive Writing.Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).",UWP 001orUWP 001VorUWP 001Y; or the equivalent,"Lecture/Discussion 3 hour(s), Extensive Writing",Letter,"AH, WE"
UWP 011,Popular Science & Technology Writing,4,"Learning Activities:Lecture/Discussion 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).",,"Lecture/Discussion 3 hour(s), Discussion 1 hour(s)",Letter,"AH, WE"
UWP 012,Writing & Visual Rhetoric,4,"Learning Activities:Lecture/Discussion 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH); Visual Literacy (VL); Writing Experience (WE).",,"Lecture/Discussion 3 hour(s), Discussion 1 hour(s)",Letter,"AH, VL, WE"
UWP 013,Video Game Rhetorics,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH); Visual Literacy (VL); Writing Experience (WE).",UWP 001 or better OR UWP 001V OR UWP 001Y OR ENL 003 or better OR ENL 003V OR COM 001 or better OR COM 002 or better OR COM 003 or better OR COM 004 or better OR NAS 005 or better OR NAS 005V.,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,"AH, VL, WE"
UWP 014,Public Rhetorics & Advocacy Writing,4,"Learning Activities:Lecture/Discussion 3 hour(s); Discussion 1 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH); American Cultures, Governance, & History (ACGH); Domestic Diversity (DD); Writing Experience (WE).This course version is effective from, and including: Winter Quarter 2026.",Entry Level Writing Requirement ( ELWR ) fulfillment,Lecture/Discussion 3 hour(s); Discussion 1 hour(s),Letter,"AH, ACGH, DD, WE"
UWP 015,Principles & Practices of Rhetoric,4,Learning Activities:Discussion 1 hour(s); Lecture/Discussion 3 hour(s).Grade Mode:Letter.General Education:Arts & Humanities (AH); Writing Experience (WE).,( UWP 001 or better; OR UWP 001Y; OR UWP 001V ) ; ( ENL 003 or better OR ENL 003V ) ;COM 001 or better;COM 002 or better;COM 003 or better;COM 004 or better; ( NAS 005 or better OR NAS 005V ) ,Discussion 1 hour(s); Lecture/Discussion 3 hour(s),Letter,"AH, WE"
